scrape_id,last_scraped,host_since,neighbourhood,price
20200000000000.0,1/3/15,1/14/13,Upper East Side,$135.00 
20200000000000.0,1/2/15,11/9/10,Hudson Square,$110.00 
20200000000000.0,1/2/15,4/17/12,Clinton Hill,$125.00 
20200000000000.0,1/2/15,12/23/14,Grant City,$200.00 
20200000000000.0,1/2/15,5/7/14,Upper East Side,$175.00 
20200000000000.0,1/2/15,12/28/13,Astoria,$55.00 
20200000000000.0,1/3/15,10/26/11,Alphabet City,$220.00 
20200000000000.0,1/3/15,6/28/14,Upper West Side,$90.00 
20200000000000.0,1/3/15,11/30/14,Hamilton Heights,$65.00 
20200000000000.0,1/2/15,11/15/13,Hell's Kitchen,$96.00 
20200000000000.0,1/2/15,3/2/10,East Village,$160.00 
20200000000000.0,1/2/15,6/13/11,East Harlem,$60.00 
20200000000000.0,1/3/15,11/5/14,Inwood,$85.00 
20200000000000.0,1/2/15,9/7/12,Fort Greene,$150.00 
20200000000000.0,1/2/15,12/11/14,East Village,$250.00 
20200000000000.0,1/3/15,1/4/12,Flatiron District,$89.00 
20200000000000.0,1/2/15,10/26/13,Hell's Kitchen,$550.00 
20200000000000.0,1/2/15,4/11/12,Hell's Kitchen,$200.00 
20200000000000.0,1/2/15,10/17/10,Midtown,$125.00 
20200000000000.0,1/2/15,4/6/12,Flatbush,$70.00 
20200000000000.0,1/2/15,4/24/13,Upper East Side,$215.00 
20200000000000.0,1/2/15,5/1/13,Hamilton Heights,$80.00 
20200000000000.0,1/2/15,6/10/13,Lower East Side,$150.00 
20200000000000.0,1/3/15,5/18/11,Bushwick,$235.00 
20200000000000.0,1/2/15,11/3/14,Jamaica,$60.00 
20200000000000.0,1/3/15,10/21/12,Clinton Hill,$500.00 
20200000000000.0,1/3/15,5/16/11,Crown Heights,$55.00 
20200000000000.0,1/3/15,5/23/11,Harlem,$110.00 
20200000000000.0,1/2/15,8/11/12,Financial District,$200.00 
20200000000000.0,1/3/15,4/25/12,Canarsie,$47.00 
20200000000000.0,1/2/15,9/13/12,Alphabet City,$90.00 
20200000000000.0,1/3/15,11/4/12,Harlem,$175.00 
20200000000000.0,1/3/15,6/18/12,St. George,$89.00 
20200000000000.0,1/2/15,4/1/12,Crown Heights,$175.00 
20200000000000.0,1/2/15,5/14/13,Crown Heights,$70.00 
20200000000000.0,1/2/15,11/10/13,Morningside Heights,$300.00 
20200000000000.0,1/2/15,11/11/14,Soho,$180.00 
20200000000000.0,1/2/15,11/24/14,Midtown,$80.00 
20200000000000.0,1/2/15,6/4/11,Fort Greene,$120.00 
20200000000000.0,1/2/15,11/25/11,Williamsburg,$225.00 
20200000000000.0,1/3/15,1/13/14,Financial District,$200.00 
20200000000000.0,1/2/15,12/29/12,East Harlem,$125.00 
20200000000000.0,1/2/15,9/9/13,Bedford-Stuyvesant,$109.00 
20200000000000.0,1/2/15,5/26/11,East Village,$99.00 
20200000000000.0,1/2/15,11/12/11,Chinatown,$199.00 
20200000000000.0,1/2/15,12/11/10,Nolita,$280.00 
20200000000000.0,1/2/15,8/15/11,Bedford-Stuyvesant,$85.00 
20200000000000.0,1/2/15,3/3/13,Upper West Side,$245.00 
20200000000000.0,1/2/15,5/1/13,Lower East Side,$225.00 
20200000000000.0,1/2/15,12/31/12,Upper West Side,$125.00 
20200000000000.0,1/2/15,6/22/12,Lower East Side,$85.00 
20200000000000.0,1/3/15,12/1/14,Kips Bay,$120.00 
20200000000000.0,1/2/15,11/13/12,West Village,$295.00 
20200000000000.0,1/3/15,11/5/12,Bedford-Stuyvesant,$62.00 
20200000000000.0,1/2/15,5/30/13,Hell's Kitchen,$300.00 
20200000000000.0,1/3/15,5/11/11,Bedford-Stuyvesant,$65.00 
20200000000000.0,1/2/15,2/24/13,Greenpoint,$100.00 
20200000000000.0,1/2/15,11/9/11,Chinatown,$130.00 
20200000000000.0,1/2/15,5/5/13,Financial District,$140.00 
20200000000000.0,1/2/15,1/11/10,East Village,$170.00 
20200000000000.0,1/2/15,12/9/13,Financial District,$350.00 
20200000000000.0,1/3/15,6/18/12,Randall Manor,$700.00 
20200000000000.0,1/2/15,3/31/13,Hamilton Heights,$100.00 
20200000000000.0,1/3/15,7/26/12,Astoria,$79.00 
20200000000000.0,1/3/15,7/2/13,Upper East Side,$175.00 
20200000000000.0,1/3/15,9/22/12,Boerum Hill,$78.00 
20200000000000.0,1/2/15,6/18/12,Randall Manor,$79.00 
20200000000000.0,1/2/15,5/22/13,Lefferts Garden,$130.00 
20200000000000.0,1/2/15,8/23/09,East Village,$119.00 
20200000000000.0,1/2/15,10/20/12,Upper East Side,$195.00 
20200000000000.0,1/2/15,9/16/13,Williamsburg,$89.00 
20200000000000.0,1/2/15,4/18/11,West Village,$250.00 
20200000000000.0,1/3/15,12/7/14,Lower East Side,$135.00 
20200000000000.0,1/2/15,6/17/13,Upper West Side,$175.00 
20200000000000.0,1/2/15,12/23/13,Midland Beach,$55.00 
20200000000000.0,1/2/15,6/27/13,Bushwick,$89.00 
20200000000000.0,1/2/15,1/24/13,Union Square,$455.00 
20200000000000.0,1/2/15,2/9/14,Hell's Kitchen,$140.00 
20200000000000.0,1/2/15,9/16/13,East Harlem,$170.00 
20200000000000.0,1/2/15,3/15/14,West Village,$180.00 
20200000000000.0,1/2/15,2/10/13,Greenpoint,$145.00 
20200000000000.0,1/2/15,10/21/13,Inwood,$95.00 
20200000000000.0,1/2/15,9/26/13,Hell's Kitchen,$280.00 
20200000000000.0,1/2/15,7/29/11,Hell's Kitchen,$345.00 
20200000000000.0,1/2/15,4/4/13,East Village,$70.00 
20200000000000.0,1/2/15,6/5/14,Fresh Meadows,$125.00 
20200000000000.0,1/3/15,12/29/13,Hamilton Heights,$75.00 
20200000000000.0,1/2/15,1/2/09,Harlem,$90.00 
20200000000000.0,1/2/15,3/8/10,Rosebank,$59.00 
20200000000000.0,1/2/15,3/7/11,Crown Heights,$95.00 
20200000000000.0,1/2/15,12/10/12,West Village,$200.00 
20200000000000.0,1/2/15,4/14/12,Harlem,$99.00 
20200000000000.0,1/2/15,6/10/14,Nolita,$250.00 
20200000000000.0,1/2/15,11/11/13,Bushwick,$95.00 
20200000000000.0,1/3/15,9/4/10,Hamilton Heights,$125.00 
20200000000000.0,1/2/15,6/19/13,Hell's Kitchen,$200.00 
